,sku_id,sku_name,date,units_sold
314,SKU0013,BrandA Water,2021-01-03,243
315,SKU0013,BrandA Water,2021-01-10,804
316,SKU0013,BrandA Water,2021-01-17,814
317,SKU0013,BrandA Water,2021-01-24,742
318,SKU0013,BrandA Water,2021-01-31,866
319,SKU0013,BrandA Water,2021-02-07,744
320,SKU0013,BrandA Water,2021-02-14,709
321,SKU0013,BrandA Water,2021-02-21,751
322,SKU0013,BrandA Water,2021-02-28,761
323,SKU0013,BrandA Water,2021-03-07,771
324,SKU0013,BrandA Water,2021-03-14,705
325,SKU0013,BrandA Water,2021-03-21,594
326,SKU0013,BrandA Water,2021-03-28,775
327,SKU0013,BrandA Water,2021-04-04,913
328,SKU0013,BrandA Water,2021-04-11,689
329,SKU0013,BrandA Water,2021-04-18,720
330,SKU0013,BrandA Water,2021-04-25,719
331,SKU0013,BrandA Water,2021-05-02,904
332,SKU0013,BrandA Water,2021-05-09,634
333,SKU0013,BrandA Water,2021-05-16,796
334,SKU0013,BrandA Water,2021-05-23,819
335,SKU0013,BrandA Water,2021-05-30,789
336,SKU0013,BrandA Water,2021-06-06,950
337,SKU0013,BrandA Water,2021-06-13,847
338,SKU0013,BrandA Water,2021-06-20,755
339,SKU0013,BrandA Water,2021-06-27,1000
340,SKU0013,BrandA Water,2021-07-04,1067
341,SKU0013,BrandA Water,2021-07-11,1352
342,SKU0013,BrandA Water,2021-07-18,1366
343,SKU0013,BrandA Water,2021-07-25,1291
344,SKU0013,BrandA Water,2021-08-01,1385
345,SKU0013,BrandA Water,2021-08-08,1147
346,SKU0013,BrandA Water,2021-08-15,1056
347,SKU0013,BrandA Water,2021-08-22,1016
348,SKU0013,BrandA Water,2021-08-29,937
349,SKU0013,BrandA Water,2021-09-05,1060
350,SKU0013,BrandA Water,2021-09-12,819
351,SKU0013,BrandA Water,2021-09-19,763
352,SKU0013,BrandA Water,2021-09-26,491
353,SKU0013,BrandA Water,2021-10-03,753
354,SKU0013,BrandA Water,2021-10-10,689
355,SKU0013,BrandA Water,2021-10-17,761
356,SKU0013,BrandA Water,2021-10-24,501
357,SKU0013,BrandA Water,2021-10-31,812
358,SKU0013,BrandA Water,2021-11-07,665
359,SKU0013,BrandA Water,2021-11-14,675
360,SKU0013,BrandA Water,2021-11-21,654
361,SKU0013,BrandA Water,2021-11-28,826
362,SKU0013,BrandA Water,2021-12-05,887
363,SKU0013,BrandA Water,2021-12-12,933
364,SKU0013,BrandA Water,2021-12-19,759
365,SKU0013,BrandA Water,2021-12-26,697
366,SKU0013,BrandA Water,2022-01-02,636
367,SKU0013,BrandA Water,2022-01-09,952
368,SKU0013,BrandA Water,2022-01-16,615
369,SKU0013,BrandA Water,2022-01-23,775
370,SKU0013,BrandA Water,2022-01-30,852
371,SKU0013,BrandA Water,2022-02-06,708
372,SKU0013,BrandA Water,2022-02-13,768
373,SKU0013,BrandA Water,2022-02-20,664
374,SKU0013,BrandA Water,2022-02-27,669
375,SKU0013,BrandA Water,2022-03-06,726
376,SKU0013,BrandA Water,2022-03-13,770
377,SKU0013,BrandA Water,2022-03-20,646
378,SKU0013,BrandA Water,2022-03-27,774
379,SKU0013,BrandA Water,2022-04-03,767
380,SKU0013,BrandA Water,2022-04-10,1011
381,SKU0013,BrandA Water,2022-04-17,755
382,SKU0013,BrandA Water,2022-04-24,603
383,SKU0013,BrandA Water,2022-05-01,646
384,SKU0013,BrandA Water,2022-05-08,705
385,SKU0013,BrandA Water,2022-05-15,829
386,SKU0013,BrandA Water,2022-05-22,730
387,SKU0013,BrandA Water,2022-05-29,761
388,SKU0013,BrandA Water,2022-06-05,892
389,SKU0013,BrandA Water,2022-06-12,1199
390,SKU0013,BrandA Water,2022-06-19,1018
391,SKU0013,BrandA Water,2022-06-26,1079
392,SKU0013,BrandA Water,2022-07-03,1097
393,SKU0013,BrandA Water,2022-07-10,898
394,SKU0013,BrandA Water,2022-07-17,1303
395,SKU0013,BrandA Water,2022-07-24,922
396,SKU0013,BrandA Water,2022-07-31,1387
397,SKU0013,BrandA Water,2022-08-07,870
398,SKU0013,BrandA Water,2022-08-14,1123
399,SKU0013,BrandA Water,2022-08-21,922
400,SKU0013,BrandA Water,2022-08-28,773
401,SKU0013,BrandA Water,2022-09-04,1329
402,SKU0013,BrandA Water,2022-09-11,758
403,SKU0013,BrandA Water,2022-09-18,983
404,SKU0013,BrandA Water,2022-09-25,556
405,SKU0013,BrandA Water,2022-10-02,606
406,SKU0013,BrandA Water,2022-10-09,802
407,SKU0013,BrandA Water,2022-10-16,864
408,SKU0013,BrandA Water,2022-10-23,816
409,SKU0013,BrandA Water,2022-10-30,704
410,SKU0013,BrandA Water,2022-11-06,681
411,SKU0013,BrandA Water,2022-11-13,1069
412,SKU0013,BrandA Water,2022-11-20,769
413,SKU0013,BrandA Water,2022-11-27,646
414,SKU0013,BrandA Water,2022-12-04,553
415,SKU0013,BrandA Water,2022-12-11,857
416,SKU0013,BrandA Water,2022-12-18,834
417,SKU0013,BrandA Water,2022-12-25,854
418,SKU0013,BrandA Water,2023-01-01,812
419,SKU0013,BrandA Water,2023-01-08,898
420,SKU0013,BrandA Water,2023-01-15,745
421,SKU0013,BrandA Water,2023-01-22,871
422,SKU0013,BrandA Water,2023-01-29,712
423,SKU0013,BrandA Water,2023-02-05,572
424,SKU0013,BrandA Water,2023-02-12,1260
425,SKU0013,BrandA Water,2023-02-19,852
426,SKU0013,BrandA Water,2023-02-26,579
427,SKU0013,BrandA Water,2023-03-05,925
428,SKU0013,BrandA Water,2023-03-12,876
429,SKU0013,BrandA Water,2023-03-19,745
430,SKU0013,BrandA Water,2023-03-26,1051
